  0/3215 hp=677 t=0s
  250/3215 hp=8832 t=25s
  500/3215 hp=39191 t=50s
  750/3215 hp=56250 t=75s
  1000/3215 hp=90968 t=100s
  1250/3215 hp=105570 t=125s
  1500/3215 hp=85379 t=150s
  1750/3215 hp=54388 t=175s
  2000/3215 hp=32578 t=200s
  2250/3215 hp=108022 t=225s
  2500/3215 hp=107608 t=250s
  2750/3215 hp=77450 t=275s
  3000/3215 hp=44127 t=300s
census drive done: 3215 hips in 322.8 s
