F91 leg A  jd=2461233.5  reference=Earth  expect=post  locale=en
body                RA_old      RA_new      DE_old      DE_new    sep_prt      dSA"     dGHA"     dLHA"     dLPA"
Puck             62.279167   62.279167   20.833611   20.833889   0.000278      0.00      0.00      0.00      0.00
Rhea             14.362500   14.362500    3.490278    3.490278   0.000000      0.00      0.00      0.00      0.00
Rosalind         62.279167   62.279167   20.833333   20.833333   0.000001      0.00      0.00      0.00      0.00
Sao               4.379167    4.379167    0.267500    0.267500   0.000000      0.00      0.00      0.00      0.00
Saturn           14.345833   14.345833    3.493611    3.493611   0.000000      0.00      0.00      0.00      0.00
Sedna            62.166667   62.166667    9.006667    9.006667   0.000001      0.00      0.00      0.00      0.00
Setebos          62.116667   62.116667   20.688056   20.688056   0.000000      0.00      0.00      0.00      0.00
Sinope          125.283333  125.283333   20.373611   20.373611   0.000000      0.00      0.00      0.00      0.00
Solar_System    111.312500  111.312500   21.988889   21.988889   0.000000      0.00      0.00      0.00      0.00
Styx            308.075000  308.075000  -23.223611  -23.223611   0.000000      0.00      0.00      0.00      0.00
Sun             111.312500  111.312500   21.988889   21.988889   0.000000      0.00      0.00      0.00      0.00
Sycorax          62.262500   62.262500   20.837778   20.837778   0.000000      0.00      0.00      0.00      0.00
Telesto          14.350000   14.350000    3.495556    3.495556   0.000000      0.00      0.00      0.00      0.00
Tethys           14.345833   14.345833    3.491944    3.491944   0.000000      0.00      0.00      0.00      0.00
Thalassa          4.591667    4.591667    0.488611    0.488611   0.000000      0.00      0.00      0.00      0.00
Thebe           124.933333  124.933333   20.026944   20.026944   0.000000      0.00      0.00      0.00      0.00
Titan            14.329167   14.329167    3.486944    3.486944   0.000001      0.00      0.00      0.00      0.00
Titania          62.275000   62.275000   20.827778   20.827778   0.000001      0.00      0.00      0.00      0.00
Triton            4.591667    4.591667    0.484444    0.484444   0.000000      0.00      0.00      0.00      0.00
Umbriel          62.275000   62.275000   20.833333   20.833333   0.000000      0.00      0.00      0.00      0.00
Uranus           62.279167   62.279167   20.834722   20.834722   0.000001      0.00      0.00      0.00      0.00
Venus           154.987500  154.987500   11.820556   11.820556   0.000001      0.00      0.00      0.00      0.00
Vesta            51.362500   51.362500   12.642222   12.642222   0.000000      0.00      0.00      0.00      0.00
