# f104_solver  slice=f348bd34  steps_per_call=1
pos_slice=0645185a
name	arm	call	iterate	residual	pos_x	pos_y	pos_z
Adrastea	seed	0	137437.20433427277	-	-	-	-
Adrastea	seed	1	137434.09764820422	0.012033585604513064	0.0008687080937407228	5.4126613662309434e-05	8.8104381856247799e-07
Amalthea	seed	0	82845.039543862978	-	-	-	-
Amalthea	seed	1	82841.932857793872	0.011731661332305521	-0.00090859221357022482	0.00081227611236426461	-4.801769422708935e-07
Ananke	seed	0	-69.433499132414767	-	-	-	-
Ananke	seed	1	-65.521442911042243	0.68702194578241915	-0.036274457242713512	0.1483587703984332	-0.080291955030685008
Belinda	seed	0	66567.568467465375	-	-	-	-
Belinda	seed	1	66564.461781396676	0.00058984174393117428	-0.00050248411604592242	-2.273328220580705e-05	-1.3963305518408631e-07
Caliban	seed	0	-72.431134408745663	-	-	-	-
Caliban	seed	1	-69.324448340195005	0.032254732336554071	-0.035630462222705307	-0.01563813266590219	0.021057235299472753
Carme	seed	0	-64.840687856046941	-	-	-	-
Carme	seed	1	-62.042901560066319	0.80484923417940735	0.12144374740309802	0.015316994627378337	0.012739335673812946
Elara	seed	0	161.70042891475504	-	-	-	-
Elara	seed	1	158.59374284620708	0.38128279956811184	0.065257133661751079	0.0094013193248420855	-0.040550075711012608
Epimetheus	seed	0	74459.696428360709	-	-	-	-
Epimetheus	seed	1	74456.589742294207	0.014507243598927744	0.00066272103790798113	0.00075620948435306166	4.6326771668618646e-06
Halimede	seed	0	-29.552629094794689	-	-	-	-
Halimede	seed	1	-26.664086391763796	0.2865877784438382	-0.084741192501302964	0.047328609962648809	0.050858874014023871
Himalia	seed	0	173.10255152002924	-	-	-	-
Himalia	seed	1	169.99586545147358	0.099848572385241141	0.022563436190586796	0.062407262129843814	0.0048272397317578103
Juliet	seed	0	84145.616332522797	-	-	-	-
Juliet	seed	1	84142.509646456849	0.0013782767491647974	0.00042403572645104739	7.5269193233869783e-05	2.3114984496934556e-07
Laomedeia	seed	0	18.590214537708754	-	-	-	-
Laomedeia	seed	1	13.645482616287945	1.9715793323151853	-0.057526598301627527	-0.11494516793348124	-0.010991846347980401
Larissa	seed	0	74832.40380335247	-	-	-	-
Larissa	seed	1	74829.297117284688	0.0010097530175698921	-0.00040431942991158972	0.00028154022526682255	2.3401080890531571e-06
Leda	seed	0	177.32955465463954	-	-	-	-
Leda	seed	1	174.22286858608697	0.34625621524884309	0.069528466562861102	0.032513908836611892	0.00036763310065918153
Lysithea	seed	0	167.91550274835527	-	-	-	-
Lysithea	seed	1	164.80881667980088	0.25355538841688485	-0.075672892938217023	0.013153363145503956	0.0061931491986082542
Metis	seed	0	138883.71720430773	-	-	-	-
Metis	seed	1	138880.61051824174	0.0032302786421496421	0.00052571061745051095	-0.00069161372679150837	-4.3121450012807252e-07
Neried	seed	0	118.89725124351438	-	-	-	-
Neried	seed	1	109.71186258284426	6.4692056564480112	0.043786247821248736	0.045696597711712438	-0.0065734954416734066
Neso	seed	0	-8.5905116723335837	-	-	-	-
Neso	seed	1	-6.4075940850486539	1.9927774255382662	0.055491359252939784	-0.022425036735401881	0.10541334250992591
Pasiphae	seed	0	-62.032285351891403	-	-	-	-
Pasiphae	seed	1	-58.127569117744066	1.1309724434242909	-0.03728092931736985	-0.1153356582849521	0.094324483996001324
Portia	seed	0	80853.240162207658	-	-	-	-
Portia	seed	1	80850.133476140007	0.0013485015952028334	0.00044224426345978427	-5.1489394029141395e-06	-4.9087878843098821e-07
Prospero	seed	0	-22.571688770771608	-	-	-	-
Prospero	seed	1	-20.138748542148146	0.1983276413076247	-0.025255258689083571	0.046565889168482803	0.082971365817017639
Proteus	seed	0	37008.780748312129	-	-	-	-
Proteus	seed	1	37005.674062244325	0.0003997224775957875	-0.00061057052897588366	0.00049604099675268506	1.1174309334851069e-05
Psamathe	seed	0	-9.0805492217809558	-	-	-	-
Psamathe	seed	1	-6.5121009677380544	0.71794290652884118	-0.19173311653890721	0.12613750911235075	0.096901096388183838
Puck	seed	0	54498.379103380837	-	-	-	-
Puck	seed	1	54495.272417313921	0.00070246907853288576	0.00050517714455370732	-0.00027484234057186061	2.5145488996545488e-06
Rosalind	seed	0	74309.358030373638	-	-	-	-
Rosalind	seed	1	74306.251344302465	0.00096338128787465394	0.00020424137277641347	-0.00042075184652678874	3.6128402261299679e-08
Sao	seed	0	17.857370884828192	-	-	-	-
Sao	seed	1	14.750684816278026	0.21605483059386366	-0.10458058372019495	-0.12179868344143543	-0.0028656263126422207
Setebos	seed	0	-22.247895608155709	-	-	-	-
Setebos	seed	1	-20.234448788003597	0.52546797720038541	0.079676128389919929	-0.055271246016607142	-0.041698276786948429
Sinope	seed	0	-59.129481306537897	-	-	-	-
Sinope	seed	1	-56.022795237988092	0.22083197452755599	0.081402251908722953	-0.10546361409465184	0.033496410356269782
Sycorax	seed	0	-34.56375299388128	-	-	-	-
Sycorax	seed	1	-32.506276056847653	1.0000370750431244	0.051114508973217669	-0.034338098632312158	0.0099559994218332108
Thebe	seed	0	61322.27902128092	-	-	-	-
Thebe	seed	1	61319.172335211719	0.038526705866388511	0.00078023131326057172	-0.0012653953168361392	8.4188738771956053e-06
Triton	seed	0	7074.2277210326465	-	-	-	-
Triton	seed	1	7071.1210349639787	2.5425235435250215e-05	0.00088382885735498575	-0.0020177462656654306	-0.00087838405276470294
