Adrastea	seed	0.0065431202492241963	0.00086242479451318558	4.4277678609044289	0.0010763335377840177	-0.073761285158156831	137437.20433427277	137434.10372524464
Amalthea	seed	0.0061757444029497009	0.0012090473696341841	2.4705511170704439	0.0067449577198302807	1.8128749502714769	82845.039543862978	82841.927014333502
Ananke	seed	0.21676818943642609	0.11309248705370606	0.77476799136333763	2.5930557132893846	1.6741203918499294	-69.433499132414767	-66.258941842309881
Belinda	seed	0.00079626988227903244	0.00050296700251214338	0.50879416292290625	3.1409718377463527	3.2082310671466607	66567.568467465375	66564.462063191269
Caliban	seed	0.078110284583459935	0.044161766742472588	6.0698281464163646	2.3965228758437731	-3.6934077185581153	-72.431134408745663	-69.338009775746713
Carme	seed	0.26029708680621833	0.11147845828719995	2.7455585806034319	2.9356441480668041	1.6153148753991813	-64.840687856046941	-61.498280540691987
Elara	seed	0.1961747274882456	0.062917586583253582	1.888236215432344	0.55824556292837368	2.8517247807318551	161.70042891475504	158.78909527126174
Epimetheus	seed	0.0097999999999999997	0.0010021946255483684	0	0.0061261056745000961	0	74459.696428360709	74456.596833180098
Halimede	seed	0.26190649270132588	0.081724200175832054	3.284428220465943	2.4294059548556595	2.5873431309157691	-29.552629094794689	-26.696725218731807
Himalia	seed	0.13411867327108301	0.065917752484428757	1.0950839914459527	0.5153494636953222	-0.25140601427525489	173.10255152002924	170.03741196014795
Juliet	seed	0.00073516028960752785	0.00043024312253080822	1.993928965114746	3.1410390619623354	3.7269330334454249	84145.616332522797	84142.508961605941
Laomedeia	seed	0.38457866041935812	0.097005725820467972	0.58554414866970317	0.17007676637409999	2.2054798579674157	18.590214537708754	15.582151365349096
Larissa	seed	0.0016286270558459521	0.00049112421184307434	0.2264215703891258	0.0064090494894128045	5.7463143939040693	74832.40380335247	74829.297649965563
Leda	seed	0.18499720680293399	0.061030967809448368	3.5879243216920109	0.4932469569829131	-1.2632984005281758	177.32955465463954	174.04055164082149
Lysithea	seed	0.12812321023971321	0.068272864481967802	0.0050190127704781134	0.42918350673348765	1.3727261458067552	167.91550274835527	164.9353094406446
Metis	seed	0.007934699878209682	0.00085522605008245896	1.7323286624067147	0.0010578464847021758	0.26609090645819666	138883.71720430773	138880.60902613652
Neried	seed	0.74736787819205419	0.009317294594202094	3.7555793518090699	0.49683083447293075	0.31160643709867664	118.89725124351438	116.13784969979602
Neso	seed	0.62999429395124085	0.11964494272643331	0.40183948138366837	1.9527471237074143	1.4743209760450584	-8.5905116723335837	-5.0171233981567793
Pasiphae	seed	0.29321529425989351	0.10829632158458433	6.0325430433899117	2.4793653135313511	-2.7873498746417433	-62.032285351891403	-59.135850732608503
Portia	seed	0.0007158996511522726	0.00044185710089381667	5.2301496703488102	3.1403067249790553	0.85434138807296733	80853.240162207658	80850.132805921923
Prospero	seed	0.33118594626998632	0.072511791060204681	5.9123056725660597	1.1793472030040988	-2.6598033335430484	-22.571688770771608	-19.646650149339905
Proteus	seed	0.00026927478663713012	0.00078640054943349125	0.1501247850714707	0.019204756750612343	4.5967065000827949	37008.780748312129	37005.673865495846
Psamathe	seed	0.2226171984343604	0.24727536253745613	5.4568469429376485	2.0912769664622775	-3.3201308350427068	-9.0805492217809558	-5.8987363576573486
Puck	seed	0.0003785245791051552	0.00057496735502500431	1.7956780066703459	3.1357607952302451	1.0873324414619028	54498.379103380837	54495.272766038463
Rosalind	seed	0.00050214637258635562	0.00046753111296298855	1.9948546780708631	3.1388193806723783	1.8113494212235364	74309.358030373638	74306.251823453655
Sao	seed	0.14285430089787921	0.12716607178930558	0.82449971838081437	0.45159827499140393	0.88556232969077919	17.857370884828192	14.870285706836148
Setebos	seed	0.5613700935632252	0.051660028585433657	5.6037904718979492	1.7386071706346125	-4.6910449051896581	-22.247895608155709	-19.283761370124239
Sinope	seed	0.18234452838817161	0.13335328657094606	5.8880583825404873	2.6719681578436396	-0.057046412547657077	-59.129481306537897	-55.925816003871695
Sycorax	seed	0.50995930951158985	0.039993474078472029	5.7117959054320355	1.694776900615879	-4.4882833481611897	-34.56375299388128	-31.460245891326704
Thebe	seed	0.019276385862664992	0.0014580781782204152	2.4259342312621395	0.019000914657875907	1.2527322888670875	61322.27902128092	61319.191597104284
Triton	seed	2.1837687532123631e-05	0.0023714055335273547	3.1807880942725042	2.7369245660728092	1.8288932878345623	7074.2277210326465	7071.1210479866813
