# f104_solver  slice=547b79d3  steps_per_call=2
pos_slice=0645185a
name	arm	call	iterate	residual	pos_x	pos_y	pos_z
Adrastea	seed	0	137437.20433427277	-	-	-	-
Adrastea	seed	1	137434.1097139419	3.2152078347280622e-05	0.00086805628272360578	6.4580537377846819e-05	8.7721100977073567e-07
Amalthea	seed	0	82845.039543862978	-	-	-	-
Amalthea	seed	1	82841.921104688023	2.1444517187774181e-05	-0.00089906314797146469	0.00082293574828584876	-5.7645287292883435e-07
Ananke	seed	0	-69.433499132414767	-	-	-	-
Ananke	seed	1	-66.217825350466953	0.0093604936422906349	-0.11547540251207034	0.094734379239119107	-0.090733075282343686
Belinda	seed	0	66567.568467465375	-	-	-	-
Belinda	seed	1	66564.462370805253	4.3316686060279608e-07	-0.00050249752886094177	-2.2436896366206737e-05	-1.3979780551811984e-07
Caliban	seed	0	-72.431134408745663	-	-	-	-
Caliban	seed	1	-69.354247559432423	0.002455513099135942	-0.034813349134702277	-0.016578572915897292	0.021745459040105317
Carme	seed	0	-64.840687856046941	-	-	-	-
Carme	seed	1	-61.149766509484088	0.088285816402823514	0.10744574997885792	-0.11107496563180472	-0.01274960542144029
Elara	seed	0	161.70042891475504	-	-	-	-
Elara	seed	1	158.98495489697979	0.0099292512045963122	0.059625386026756107	0.039188650989500778	-0.043015201827079574
Epimetheus	seed	0	74459.696428360709	-	-	-	-
Epimetheus	seed	1	74456.604155826339	9.3711467343382537e-05	0.00065175116843573693	0.00076582506596347441	4.6915839728387371e-06
Halimede	seed	0	-29.552629094794689	-	-	-	-
Halimede	seed	1	-26.961500158379344	0.010825988171710321	-0.10822569659655845	0.028579844767283386	0.037723353167454961
Himalia	seed	0	173.10255152002924	-	-	-	-
Himalia	seed	1	170.0833835923091	0.012330431549713694	0.017066501711015408	0.064161645906163495	0.0080501016209183381
Juliet	seed	0	84145.616332522797	-	-	-	-
Juliet	seed	1	84142.508267844198	3.3590185921639204e-07	0.00042393198717978779	7.5853632574273135e-05	2.3123033254536547e-07
Laomedeia	seed	0	18.590214537708754	-	-	-	-
Laomedeia	seed	1	16.426017287486964	0.80895533888383397	0.20059508310511034	0.029374594666984347	-0.014834258240109898
Larissa	seed	0	74832.40380335247	-	-	-	-
Larissa	seed	1	74829.298128609837	1.5721307136118412e-06	-0.00040460371360393459	0.00028113196022024381	2.3379672763797759e-06
Leda	seed	0	177.32955465463954	-	-	-	-
Leda	seed	1	173.85725072669058	0.01936164414755126	0.079723090841422581	0.010851642570858241	0.013237376788803837
Lysithea	seed	0	167.91550274835527	-	-	-	-
Lysithea	seed	1	165.062436220904	6.4152686235274814e-05	-0.079442928726190867	-0.0045309896296519079	-0.001891035953666657
Metis	seed	0	138883.71720430773	-	-	-	-
Metis	seed	1	138880.60726296346	2.4999637389555573e-05	0.00052347680568305395	-0.00069331217503657916	-4.2859326689315521e-07
Neried	seed	0	118.89725124351438	-	-	-	-
Neried	seed	1	113.54113156555358	2.6399366737386885	0.0041314801343005931	-0.0097532038932867573	0.0056128678632712866
Neso	seed	0	-8.5905116723335837	-	-	-	-
Neso	seed	1	-2.9069696658019333	1.5078469937084544	-0.068475424564885229	0.18207484893653528	-0.48385427401905001
Pasiphae	seed	0	-62.032285351891403	-	-	-	-
Pasiphae	seed	1	-59.425970755386423	0.1674291942180659	0.14224428955562762	-0.12008735210837534	0.063196740570261242
Portia	seed	0	80853.240162207658	-	-	-	-
Portia	seed	1	80850.132127330202	3.0820956453680992e-07	0.00044225120888527594	-4.5525718736773258e-06	-4.9126610853370513e-07
Prospero	seed	0	-22.571688770771608	-	-	-	-
Prospero	seed	1	-19.947157887251453	0.0067369864109316779	-0.040184146045792443	0.046098068629093769	0.06880595931303729
Proteus	seed	0	37008.780748312129	-	-	-	-
Proteus	seed	1	37005.673662451125	7.07223080098629e-08	-0.00061037220275348141	0.00049628502397400958	1.1178373955487616e-05
Psamathe	seed	0	-9.0805492217809558	-	-	-	-
Psamathe	seed	1	-5.793440352787286	0.00071770842192719897	-0.11863389218678672	0.20677205192245696	-0.092207383891361433
Puck	seed	0	54498.379103380837	-	-	-	-
Puck	seed	1	54495.273119688274	9.4725692179054022e-08	0.00050498408274714257	-0.00027519721640543993	2.5129898236904254e-06
Rosalind	seed	0	74309.358030373638	-	-	-	-
Rosalind	seed	1	74306.252307555464	1.2828968465328217e-07	0.00020383603032927934	-0.00042094860921555787	3.4879315839539838e-08
Sao	seed	0	17.857370884828192	-	-	-	-
Sao	seed	1	14.987087336609536	0.02034768973764578	-0.08061269088914956	-0.14200012736060752	-0.018053145165736393
Setebos	seed	0	-22.247895608155709	-	-	-	-
Setebos	seed	1	-19.78926650269182	0.080285691888608568	0.060619786306731795	-0.050045147319286304	0.0049822372425815248
Sinope	seed	0	-59.129481306537897	-	-	-	-
Sinope	seed	1	-55.834284916284787	0.032321652824251146	0.057488718467871139	-0.12016794543842457	0.045055213271990725
Sycorax	seed	0	-34.56375299388128	-	-	-	-
Sycorax	seed	1	-31.729360105559199	0.22312112375466953	0.0083487626647613337	-0.011237618441331497	0.039620573171759384
Thebe	seed	0	61322.27902128092	-	-	-	-
Thebe	seed	1	61319.21087334551	1.1427924619056284e-05	0.00082899411745263486	-0.0012353363298589764	7.3798104031899283e-06
Triton	seed	0	7074.2277210326465	-	-	-	-
Triton	seed	1	7071.1210603896698	4.5565684558823705e-10	0.00088377291305087667	-0.0020177672667994308	-0.00087839210184795192
