cycle,variant,path,entry,teardown,tcp_secs,outcome,detail,rovers,rovload,load1
1,pcsegv,new,SIGSEGV,sig,12,FIRE,"rc=139 SIGSEGV",8,8,9.95
2,pcabrt,new,SIGABRT,sig,13,FIRE,"rc=134 SIGABRT",8,8,12.84
