cycle,variant,path,entry,teardown,tcp_secs,outcome,detail,rovers,rovload,load1
1,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",2,2,17.64
2,qda,new,SIGINT,sig,13,CLEAN,"rc=0",2,4,16.87
3,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",2,2,16.36
4,frsig,new,SIGINT,sig,12,CLEAN,"rc=0",2,2,18.21
5,galsig,new,SIGINT,sig,13,CLEAN,"rc=0",2,2,17.02
6,oldcmd,old,shutdown-cmd,cmd,13,CLEAN,"rc=0",2,2,16.86
7,qdaterm,new,SIGTERM,sig,13,CLEAN,"rc=0",2,4,15.77
8,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0",2,2,18.69
9,oldsig,old,SIGINT,sig,13,CLEAN,"rc=0",2,2,17.92
10,qda,new,SIGINT,sig,12,CLEAN,"rc=0",2,4,16.77
11,actquit,new,SIGQUIT,sig,13,CLEAN,"rc=0",2,2,16.26
12,actsig,new,SIGINT,sig,13,CLEAN,"rc=0",2,2,15.57
13,frsig,new,SIGINT,sig,12,CLEAN,"rc=0",2,2,17.63
14,galsig,new,SIGINT,sig,12,CLEAN,"rc=0",2,2,17.12
15,oldsig,old,SIGINT,sig,13,CLEAN,"rc=0",2,2,16.72
16,qda,new,SIGINT,sig,12,CLEAN,"rc=0",2,4,18.39
17,actsig,new,SIGINT,sig,13,CLEAN,"rc=0",2,2,18.17
18,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0",2,2,16.79
19,qdaterm,new,SIGTERM,sig,13,CLEAN,"rc=0",2,4,18.50
20,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0",2,2,19.62
21,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",2,2,18.10
22,qda,new,SIGINT,sig,13,CLEAN,"rc=0",2,4,16.64
23,frsig,new,SIGINT,sig,12,CLEAN,"rc=0",2,2,15.61
24,galsig,new,SIGINT,sig,12,CLEAN,"rc=0",2,2,15.92
25,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",2,2,16.13
26,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",2,2,17.52
27,qda,new,SIGINT,sig,12,CLEAN,"rc=0",2,4,16.64
28,actquit,new,SIGQUIT,sig,12,CLEAN,"rc=0",2,2,17.18
29,oldcmd,old,shutdown-cmd,cmd,13,CLEAN,"rc=0",2,2,16.54
30,qdaterm,new,SIGTERM,sig,12,CLEAN,"rc=0",2,4,16.37
31,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0",2,2,16.62
32,frsig,new,SIGINT,sig,13,CLEAN,"rc=0",2,2,17.05
33,galsig,new,SIGINT,sig,12,CLEAN,"rc=0",2,2,16.64
34,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",2,2,16.36
35,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",2,2,17.70
36,qda,new,SIGINT,sig,12,CLEAN,"rc=0",2,4,18.48
37,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",2,2,17.25
38,qda,new,SIGINT,sig,12,CLEAN,"rc=0",2,4,17.18
39,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",2,2,16.64
40,frsig,new,SIGINT,sig,13,CLEAN,"rc=0",2,2,16.77
41,galsig,new,SIGINT,sig,14,CLEAN,"rc=0",2,2,16.21
42,oldcmd,old,shutdown-cmd,cmd,14,CLEAN,"rc=0",2,2,15.92
43,qdaterm,new,SIGTERM,sig,12,CLEAN,"rc=0",2,4,18.09
44,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0",2,2,17.83
45,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",2,2,17.22
46,qda,new,SIGINT,sig,13,CLEAN,"rc=0",2,4,16.69
47,actquit,new,SIGQUIT,sig,12,CLEAN,"rc=0",2,2,19.69
48,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",2,2,21.08
49,frsig,new,SIGINT,sig,12,CLEAN,"rc=0",2,2,21.81
50,galsig,new,SIGINT,sig,14,CLEAN,"rc=0",2,2,19.26
51,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",2,2,17.64
52,qda,new,SIGINT,sig,13,CLEAN,"rc=0",2,4,17.63
53,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0",2,2,17.25
54,qdaterm,new,SIGTERM,sig,12,CLEAN,"rc=0",2,4,18.93
