5.100	D15	1
5.102	D21	1
5.103	D21	1
5.104	D30	1
5.104	D31	2
5.106	D15	1
5.107	D11	1
5.109	D21	3
5.112	D15	1
5.112	D9	1
5.115	D12	4
5.116	D12	1
5.116	D9	1
5.118	D9	1
5.18	D12	2
5.2	D4	1
5.21	D9	2
5.23	D12	1
5.23	D17	2
5.23	D18	1
5.24	D20	1
5.24	D8	2
5.25	D8	3
5.26	D28	3
5.26	S6	4
5.27	D21	13
5.27	D8	5
5.32	D8	1
5.35	S6	1
5.44	D23	2
5.5	D27	1
5.5	S8	4
5.52	D3	2
5.53	D10	1
5.53	D12	1
5.53	D5	1
5.53	D6	1
5.53	D9	1
5.54	D5	2
5.54	D8	1
5.60	D13	3
5.70	D9	1
5.76	S1	1
5.80	D15	3
5.83	D8	1
5.85	S1	1
5.87	D8	1
5.88	D11	1
5.89	D12	2
5.89	D13	1
5.89	D15	1
5.89	D9	1
5.89	S4	1
5.95	D9	1
5.97	D6	1
5.97	D9	1
5.99	D37	1
