Name,Count,State,EStart,EStop,CPU Total,Avg,Min,Max,CPU 0,10^0,10^1,10^2,10^3,10^4,10^5+,Wall Total,Avg,Min,Max,Wall 0,10^0,10^1,10^2,10^3,10^4,10^5+,
Normal Loop,1000,0,0,0,2196298,2196,2159,6594,0,0,0,0,1000,0,0,2197877,2197,2159,6676,0,0,0,0,1000,0,0,
Parallelized Loop,1000,0,0,0,1687904,1687,1482,4396,0,0,0,0,1000,0,0,432296,432,377,2750,0,0,0,999,1,0,0,
